TimeStep,Time,"U:0","U:1","U:2","p","arc_length"
2,300,21.386,0.93939,0.3846,-26.942,8.0921
2,300,21.376,0.90505,0.38376,-26.699,8.106
2,300,21.365,0.87166,0.38256,-26.439,8.1199
2,300,21.348,0.83649,0.37985,-26.075,8.1337
2,300,21.328,0.80177,0.37623,-25.657,8.1476
2,300,21.305,0.76774,0.37173,-25.181,8.1614
2,300,21.28,0.73462,0.36635,-24.642,8.1753
2,300,21.251,0.70265,0.36011,-24.037,8.1891
2,300,21.218,0.67205,0.35301,-23.36,8.203
2,300,21.182,0.64303,0.34507,-22.607,8.2168
2,300,21.148,0.61626,0.33756,-21.922,8.2307
2,300,21.145,0.59219,0.33533,-21.846,8.2446
2,300,21.141,0.56812,0.33311,-21.769,8.2584
2,300,21.138,0.54405,0.33088,-21.692,8.2723
2,300,21.134,0.51998,0.32866,-21.616,8.2861
2,300,21.131,0.49591,0.32644,-21.539,8.3
2,300,21.128,0.47183,0.32421,-21.463,8.3138
2,300,21.125,0.4529,0.32347,-21.398,8.3277
2,300,21.12,0.43634,0.3218,-21.306,8.3416
2,300,21.115,0.41959,0.31932,-21.199,8.3554
2,300,21.11,0.40276,0.31648,-21.084,8.3693
2,300,21.105,0.38588,0.31345,-20.966,8.3831
2,300,21.099,0.36899,0.3103,-20.846,8.397
2,300,21.093,0.35207,0.30709,-20.724,8.4108
2,300,21.088,0.33514,0.30383,-20.602,8.4247
2,300,21.082,0.31821,0.30053,-20.478,8.4386
2,300,21.07,0.30168,0.29619,-20.221,8.4524
2,300,21.051,0.2857,0.29035,-19.825,8.4663
2,300,21.031,0.27044,0.28427,-19.415,8.4801
2,300,21.01,0.25589,0.27796,-18.992,8.494
2,300,20.989,0.24208,0.27148,-18.557,8.5078
2,300,20.967,0.229,0.26485,-18.111,8.5217
2,300,20.945,0.21668,0.2581,-17.654,8.5355
2,300,20.923,0.20512,0.25127,-17.189,8.5494
